play_date,home_team,away_team,stadium,match_type
2024-03-24 14:00,Midlands Hurricanes,Newcastle Thunder,Alexander Stadium,League One 2024
2024-03-24 15:00,Rochdale Hornets,Hunslet RLFC,Crown Oil Arena,League One 2024
2024-03-24 15:00,Keighley Cougars,Workington Town,Cougar Park,League One 2024
2024-03-24 15:00,Cornwall RLFC,North Wales Crusaders,The Memorial Ground,League One 2024
