play_date,home_team,away_team,stadium,match_type
2024-02-15 20:00,Hull FC,Hull KR,MKM Stadium,Super League 2024
2024-02-16 20:00,Leeds Rhinos,Salford Red Devils,AMT Headingley Stadium,Super League 2024
