play_date,home_team,away_team,stadium,match_type
2024-03-28 09:00,Sydney Roosters,Penrith Panthers,Sydney Football Stadium,NRL 2024
2024-03-29 05:05,South Sydney Rabbitohs,Canterbury Bulldogs,Accor Stadium,NRL 2024
2024-03-29 09:00,Brisbane Broncos,NQ Cowboys,Suncorp Stadium,NRL 2024
2024-03-30 06:30,St. George Illawarra Dragons,Manly Sea Eagles,Netstrata Jubilee Stadium,NRL 2024
2024-03-30 08:35,Gold Coast Titans,Dolphins,Cbus Super Stadium,NRL 2024
2024-03-31 06:05,New Zealand Warriors,Newcastle Knights,Apollo Projects Stadium,NRL 2024
2024-03-31 08:15,Cronulla Sharks,Canberra Raiders,Points Bet Stadium,NRL 2024
2024-04-01 06:00,Parramatta Eels,Wests Tigers,CommBank Stadium,NRL 2024
