play_date,home_team,away_team,stadium,match_type
2024-03-14 20:00,Salford Red Devils,Wigan Warriors,Salford Stadium,Super League 2024
2024-03-15 20:00,Leeds Rhinos,St Helens,AMT Headingley Stadium,Super League 2024
2024-03-16 15:00,Huddersfield Giants,Hull KR,John Smith's Stadium,Super League 2024
2024-03-16 15:00,Hull FC,Leigh Leopards,MKM Stadium,Super League 2024
2024-03-16 17:30,Catalans Dragons,Castleford Tigers,Stade Gilbert Brutus,Super League 2024
2024-03-17 15:00,London Broncos,Warrington Wolves,Cherry Red Records Stadium,Super League 2024
