play_date,home_team,away_team,stadium,match_type
2024-03-14 09:00,Brisbane Broncos,South Sydney Rabbitohs,suncorp stadium,NRL 2024
2024-03-15 07:00,Cronulla Sharks,Canterbury Bulldogs,Pointbet Stadium,NRL 2024
2024-03-15 09:00,Penrith Panthers,Parramatta Eels,bluebet stadium,NRL 2024
2024-03-16 04:00,Canberra Raiders,Wests Tigers,GIO Stadium,NRL 2024
2024-03-16 06:30,NQ Cowboys,Newcastle Knights,QLD Country Bank Stadium,NRL 2024
2024-03-16 08:35,Melbourne Storm,New Zealand Warriors,AAMI,NRL 2024
2024-03-17 05:05,Manly Sea Eagles,Sydney Roosters,Pines Park,NRL 2024
2024-03-17 07:15,Dolphins,St. George Illawarra Dragons,Kayo Stadium,NRL 2024
