play_date,home_team,away_team,stadium,match_type
2024-03-03 02:30,Manly Sea Eagles,South Sydney Rabbitohs,Pines Park,NRL 2024
2024-03-03 04:30,Sydney Roosters,Brisbane Broncos,Sydney Football Stadium,NRL 2024
2024-03-07 09:00,Newcastle Knights,Canberra Raiders,McDonald Jones Stadium,NRL 2024
2024-03-08 07:00,New Zealand Warriors,Cronulla Sharks,Mt. Smart Stadium,NRL 2024
2024-03-08 09:05,Melbourne Storm,Penrith Panthers,AAMI Stadium,NRL 2024
2024-03-09 06:30,Parramatta Eels,Canterbury Bulldogs,CommBank Stadium,NRL 2024
2024-03-09 08:35,Gold Coast Titans,St. George Illawarra Dragons,Cbus super stadium,NRL 2024
2024-03-10 05:05,Dolphins,NQ Cowboys,Kayo Stadium,NRL 2024
