play_date,home_team,away_team,stadium,match_type
2024-03-29 19:30,Hunslet RLFC,Keighley Cougars,South Leeds Stadium,League One 2024
2024-03-29 19:30,Newcastle Thunder,Workington Town,Kingston Park,League One 2024
2024-03-29 19:30,North Wales Crusaders,Midlands Hurricanes,CSM Stadium,League One 2024
2024-03-29 19:30,Oldham RLFC,Rochdale Hornets,Boundary Park,League One 2024
