play_date,home_team,away_team,stadium,match_type
2024-03-29 15:00,Doncaster,Sheffield,Eco-Power Stadium,Championship 2024
2024-03-29 15:00,Whitehaven,Barrow,LEL Arena,Championship 2024
2024-03-29 15:00,Widnes,Swinton,DCBL Stadium Halton,Championship 2024
2024-03-29 17:00,Dewsbury,Batley,Flair Stadium,Championship 2024
2024-03-29 18:00,Featherstone,Wakefield,Millenium Stadium,Championship 2024
2024-03-29 19:30,Bradford,Halifax,Odsal Stadium,Championship 2024
2024-03-31 15:00,York RLFC,Toulouse Olympique,LNER Stadium,Championship 2024
